timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
0.000023,-0.006344,0.047092,1.016260,0.002258,0.000370,-0.001397,-0.564687,-3.899373,8.301652,1016.222656
0.018469,-0.006100,0.046604,1.016504,-0.001383,-0.001438,-0.000172,-1.016437,-7.018871,14.942973,1016.222656
0.036312,-0.007564,0.047092,1.018212,0.000742,0.001289,0.000131,-1.377837,-9.514469,20.448133,1016.216064
0.055465,-0.005612,0.046848,1.017236,-0.002574,-0.001435,0.000129,-1.628103,-11.494148,24.852261,1016.216064
0.080217,-0.007564,0.046604,1.016992,0.001674,0.000090,-0.001375,-1.828315,-13.077891,28.375563,1016.213135
0.103352,-0.007320,0.046116,1.015528,-0.003159,-0.001713,-0.001652,-1.949631,-14.333686,31.519300,1016.213135
0.121069,-0.007320,0.046604,1.016260,-0.001004,-0.000783,-0.001924,-2.046684,-15.338322,34.034290,1016.209961
0.141239,-0.006832,0.047824,1.016748,-0.001888,0.000732,-0.000691,-2.124326,-16.298830,35.769211,1016.209961
0.164052,-0.009272,0.045872,1.017236,0.001147,0.001020,-0.002481,-2.322430,-17.067236,37.157146,1016.206543
0.189419,-0.008784,0.047092,1.016992,-0.000074,-0.000799,0.000864,-2.480913,-17.581161,38.448517,1016.203369
0.214775,-0.007808,0.045872,1.019432,-0.002475,0.000115,-0.000952,-2.452281,-17.992302,39.481613,1016.203369
0.240702,-0.008052,0.047092,1.017968,-0.003334,0.001614,-0.001837,-2.532988,-18.304415,40.230511,1016.204102
0.266088,-0.007320,0.046848,1.017724,0.000626,-0.000815,-0.000605,-2.597553,-18.554104,40.829628,1016.204102
0.292065,-0.007076,0.046360,1.016748,0.002417,-0.000501,-0.000295,-2.584449,-18.753855,41.345863,1016.204102
0.317427,-0.006832,0.045872,1.017968,-0.001227,-0.000793,-0.002092,-2.573965,-18.913656,41.758854,1016.201904
0.342794,-0.006588,0.047336,1.017724,-0.002408,0.001022,0.000947,-2.597956,-19.035898,41.882366,1016.201904
0.368653,-0.006100,0.047092,1.016992,-0.000265,-0.000797,0.000931,-2.617150,-19.133692,41.981178,1016.198242
0.394172,-0.007564,0.046604,1.016504,0.000940,-0.000183,0.001516,-2.451184,-19.284725,42.130417,1016.195557
0.420311,-0.006100,0.046360,1.018944,0.000624,0.000121,0.000289,-2.318411,-19.405552,42.249809,1016.195557
0.446394,-0.007564,0.046848,1.017480,0.000614,-0.000782,0.000584,-2.276950,-19.367813,42.241882,1016.194336
0.469095,-0.006832,0.045140,1.018212,-0.000598,0.001633,-0.000326,-2.243782,-19.337624,42.235542,1016.194336
0.489265,-0.006100,0.046116,1.015528,-0.000287,-0.001097,0.000880,-2.385616,-19.380671,42.666393,1016.193359
0.512302,-0.007808,0.047580,1.016016,0.000919,-0.001979,-0.002438,-2.499083,-19.415110,43.011074,1016.195312
0.534654,-0.006588,0.045872,1.018944,0.001204,-0.001946,-0.001196,-2.350255,-19.509861,43.257263,1016.195312
0.555220,-0.007564,0.046116,1.015284,0.002384,0.000489,0.000927,-2.231192,-19.585661,43.454216,1016.195312
0.571413,-0.005612,0.046360,1.017236,-0.000959,-0.000120,-0.000290,-2.135942,-19.646301,43.611778,1016.199951
0.589623,-0.006344,0.047336,1.017480,-0.000642,-0.000118,0.000315,-2.325247,-19.655613,43.165215,1016.199951
0.605749,-0.007564,0.048068,1.018456,0.001170,-0.000716,0.000010,-2.476691,-19.663063,42.807964,1016.199219
0.623983,-0.006832,0.046604,1.016992,-0.000651,-0.002807,-0.001792,-2.597846,-19.669024,43.176048,1016.199219
0.640113,-0.006100,0.046360,1.017236,-0.001842,-0.001558,0.001541,-2.636488,-19.712992,43.470516,1016.200439
0.662066,-0.006100,0.045384,1.018456,0.000892,-0.000030,0.001816,-2.667402,-19.748165,43.706089,1016.200439
0.681854,-0.005368,0.046604,1.017236,0.001177,-0.000330,-0.000617,-2.743939,-19.821104,43.525124,1016.194580
0.704186,-0.006588,0.048312,1.016016,0.002659,-0.000024,0.000895,-2.805169,-19.879456,43.380348,1016.194580
0.726984,-0.007076,0.046604,1.016016,0.001413,-0.000925,0.001780,-2.854153,-19.819736,43.504658,1016.190186
0.752359,-0.005856,0.046604,1.017968,0.002891,-0.000008,-0.000352,-2.789728,-19.771961,43.604107,1016.190186
0.778253,-0.007076,0.045872,1.017236,0.000140,0.000292,0.000255,-2.738189,-19.638542,43.362263,1016.193604
0.803636,-0.005368,0.046848,1.016260,0.001038,-0.000013,0.000251,-2.709908,-19.531807,43.168789,1016.188965
0.829054,-0.007808,0.047336,1.018212,-0.000781,0.000888,-0.000054,-2.752042,-19.597618,43.424072,1016.188965
0.854929,-0.007320,0.046360,1.017480,0.001634,0.000573,0.001749,-2.785748,-19.650267,43.628300,1016.187500
0.877866,-0.007564,0.046848,1.015528,0.000706,0.001464,-0.000383,-2.812713,-19.580385,43.507221,1016.180420
0.900618,-0.009272,0.047336,1.017724,0.000094,-0.001263,-0.000977,-2.834285,-19.524481,43.410358,1016.180420
0.923803,-0.007564,0.047580,1.016260,0.000693,-0.001242,0.000241,-2.851543,-19.574957,43.602551,1016.175781
0.948595,-0.004148,0.047092,1.017724,0.000681,-0.000320,0.000237,-2.891252,-19.615337,43.756306,1016.175781
0.965485,-0.006344,0.046848,1.017480,0.000670,-0.000315,-0.000668,-2.923019,-19.647642,43.879307,1016.175781
0.980872,-0.007320,0.045384,1.017724,0.001860,-0.000009,-0.001858,-2.993763,-19.555885,44.324970,1016.171631
0.991058,-0.007808,0.046360,1.015772,0.001228,0.001492,-0.000025,-3.050358,-19.482481,44.681499,1016.171631
1.006149,-0.007076,0.046848,1.015040,-0.002096,-0.000034,-0.001526,-3.095634,-19.423758,44.966724,1016.171631
1.015115,-0.006588,0.046848,1.016748,-0.002962,0.002068,-0.000900,-3.131854,-19.376778,45.194904,1016.171631
1.025178,-0.005612,0.046116,1.016504,0.000391,0.000532,0.001518,-3.160831,-19.232794,45.255539,1016.171631
1.040458,-0.006588,0.046848,1.017236,-0.000817,-0.000378,0.000291,-3.067449,-19.117607,45.304047,1016.171631
1.049439,-0.006344,0.047336,1.017236,-0.001704,0.002331,0.000286,-2.992744,-19.025457,45.342850,1016.171631
1.058284,-0.006100,0.047092,1.016992,0.001028,-0.000411,0.000582,-2.932980,-18.951738,45.373894,1016.172119
1.074344,-0.006344,0.046116,1.015040,-0.000191,0.000497,-0.000329,-2.056276,-19.111164,44.560131,1016.172119
1.083212,-0.007076,0.046116,1.016992,-0.000488,0.001690,-0.000924,-2.054291,-19.238705,43.909122,1016.172119
1.092105,-0.005856,0.046360,1.017480,0.000721,-0.000440,-0.001810,-2.052703,-19.340736,43.388313,1016.172119
1.100963,-0.005612,0.046604,1.015772,0.000709,-0.000133,0.000323,-2.051432,-19.422361,42.971668,1016.169678
1.117413,-0.007320,0.047580,1.016748,-0.000504,0.000470,0.001819,-2.050416,-19.487661,42.638351,1016.169678
1.126216,-0.007564,0.046848,1.017968,0.001907,0.000462,0.002089,-2.185593,-19.584702,42.766983,1016.169678
1.135040,-0.007320,0.045628,1.014796,0.000373,-0.001047,-0.000349,-2.293735,-19.662334,42.869888,1016.168457
1.151244,-0.006100,0.046848,1.016504,-0.001435,0.002874,-0.000343,-2.380248,-19.724440,42.952213,1016.168457
1.160124,-0.007076,0.046116,1.018212,-0.000510,0.001024,-0.000037,-2.449458,-19.774124,43.018074,1016.168457
1.169014,-0.006832,0.047092,1.017724,0.000100,0.000707,-0.000637,-2.504827,-19.813871,43.115093,1016.168457
1.187024,-0.006344,0.046848,1.016504,-0.000803,-0.000506,-0.000026,-2.594452,-19.772869,43.192707,1016.162598
1.203205,-0.007564,0.046116,1.016992,-0.000790,0.000103,0.078353,-2.666152,-19.740068,43.254799,1016.162598
1.221272,-0.005856,0.045872,1.016260,-0.001377,0.000101,0.001361,-1.894619,-19.585028,43.097595,1016.162842
1.237358,-0.007564,0.047336,1.016748,-0.001354,-0.000801,-0.000464,-1.905539,-19.460995,42.971832,1016.162842
1.255353,-0.007564,0.047580,1.015040,-0.002232,-0.000488,-0.001057,-1.914274,-19.361769,42.871220,1016.164551
1.271411,-0.005612,0.045628,1.015772,-0.000393,-0.001380,-0.000438,-2.128485,-19.315987,43.012386,1016.164551
1.289397,-0.005612,0.046360,1.017968,0.001716,0.000144,-0.000431,-2.299854,-19.279362,43.125320,1016.164551
1.304338,-0.007808,0.047092,1.016748,-0.001015,-0.002261,-0.001325,-2.436949,-19.250061,43.215668,1016.159180
1.314307,-0.007320,0.046604,1.015772,-0.000698,0.000780,-0.000101,-2.546626,-19.226622,43.287945,1016.159180
1.332301,-0.006588,0.047092,1.016748,0.001116,-0.000434,-0.002202,-2.388289,-19.448669,43.467678,1016.159180
1.347228,-0.005612,0.047336,1.016260,-0.000705,0.000474,-0.001564,-2.261620,-19.626308,43.611465,1016.164551
1.357187,-0.006100,0.047092,1.016992,-0.001294,0.000767,-0.001838,-2.160284,-19.768419,43.726494,1016.164551
1.372124,-0.007320,0.045872,1.017480,-0.000671,0.000153,0.000595,-2.254061,-19.770107,43.807434,1016.164551
1.380958,-0.008296,0.047824,1.017724,0.001742,0.000751,-0.002117,-2.329082,-19.771458,43.872189,1016.161621
1.390924,-0.007076,0.047092,1.016992,-0.000990,-0.000463,0.000621,-2.389098,-19.772539,43.923992,1016.161621
1.408915,-0.006588,0.046848,1.018212,0.000829,-0.000455,-0.000591,-2.437112,-19.773403,43.965435,1016.161621
1.423845,-0.006588,0.045384,1.019188,0.002016,-0.001048,-0.002383,-2.669794,-19.639694,43.680878,1016.159668
1.433831,-0.008052,0.046604,1.017236,0.001081,-0.001631,-0.000841,-2.855940,-19.532728,43.453232,1016.159668
