Power (W),Thrust (N),Speed (RPM)
0.2374105174288296,-0.000321,1708.3676147460938
0.6940353405808188,0.058885,2664.9197387695312
3.6173264872767845,0.148933,4714.6893310546875
11.269929432145432,0.522405,6770.128326416016
27.798002094804815,1.087767,8827.967834472656
54.3725334578282,1.891964,10878.319702148438
56.85488963596136,2.920675,10994.423217773438
56.84884038610435,3.015084,10987.827758789062
56.18229768524716,3.00641,10863.055114746094
57.82728397390465,3.011065,11126.003723144531
53.52311342164112,2.989427,10900.689697265625
26.318756736739168,2.897099,8831.415710449219
11.28120130050147,1.876452,6771.1541748046875
3.9474410326541998,1.083101,4717.62451171875
0.6079727275183593,0.512314,2660.521774291992
0.10347403778280322,0.151046,585.2331733703613
