Power (W),Thrust (N),Throttle (%)
0.0,-0.001433,0.0
0.0,-0.001545,0.07142857142857142
0.0,0.017797,0.14285714285714285
0.0,0.080886,0.21428571428571427
0.0,0.1752,0.2857142857142857
0.0,0.293776,0.3571428571428571
0.0,0.416111,0.42857142857142855
0.0,0.70102,0.5
0.0,0.897057,0.5
0.0,0.763461,0.42857142857142855
0.0,0.60122,0.3571428571428571
0.0,0.433362,0.2857142857142857
0.0,0.303992,0.21428571428571427
0.0,0.184641,0.14285714285714285
0.0,0.083782,0.07142857142857142
0.0,0.019284,0.0
