Power (W),Thrust (N),Speed (RPM)
0.010222039263820992,-0.000639,600.0
-0.15013125529460467,0.0,2200.0000000000005
-0.36359542006094897,-0.000693,3800.0
-0.7872936497009846,-0.001139,5400.0
-1.2846500260492781,-0.001536,7000.0
-2.6015961516212003,-0.001354,8600.0
-2.826954245918549,-0.000875,10200.0
-4.188266418814908,-0.000602,11800.000000000002
-2.0463585822626214,-1.6e-05,13400.0
-2.2911896435732673,-0.000199,15000.0
