Power (W),Thrust (N),Speed (RPM)
-0.079929880658467,-0.083058,1705.9140014648438
0.011392171666017425,-0.04952,2652.4520874023438
0.6707601450031249,0.001131,4713.095397949219
3.748783800575808,0.196141,6767.145080566406
8.308369720008216,0.526544,8829.491271972656
16.14046191381151,0.980999,10880.301818847656
29.760017592548458,1.547145,12940.632934570312
47.75089162274262,2.276584,14999.173278808594
45.25445560317803,3.042849,14991.448059082031
30.445832401365898,3.021357,12945.205993652344
15.95524684330942,2.251764,10887.916259765625
9.14584707999462,1.542172,8824.763488769531
2.822374925524406,0.977016,6772.6263427734375
0.8737889134493713,0.526306,4715.245056152344
0.1716129988281338,0.203506,2659.5902252197266
0.1280323483466123,0.00685,604.6610641479492
