Power (W),Thrust (N),Speed (RPM)
0.09079505689556658,0.014061,1718.9075088500977
0.13473093389714083,0.043262,2656.4932250976562
1.0378832156760738,0.090506,4711.412200927734
4.278780369736023,0.271917,6774.457855224609
10.763661905980758,0.582969,8830.045166015625
21.570176708743976,1.02974,10891.504211425781
38.33584971838527,1.655608,12941.526489257812
60.721279923971906,2.38082,14642.17529296875
58.85037787498968,3.223596,14637.563781738281
39.5830662016986,3.19509,12943.360290527344
20.88942623458554,2.419539,10881.749267578125
10.904547178422888,1.657019,8830.559692382812
4.5553628002297275,1.049481,6771.147308349609
1.3157786588251668,0.588971,4714.607849121094
0.20363141527702666,0.2684,2642.0297241210938
0.039080667831653496,0.089709,596.4570236206055
