time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
24362.362000000,0.785398298,0.000000110,-12.161127032,1.621531084,0.838792969,21.752749407,3.091963112,2.924197988,-1.692325341
24362.388000000,0.785398283,0.000000163,-12.753805383,1.396714696,1.215768167,22.305527212,3.068487482,2.943789301,-1.753484251
24362.415000000,0.785398261,0.000000225,-13.361875466,1.108404653,1.641347626,22.862830046,3.040529130,2.967001185,-1.812212342
24362.438000000,0.785398231,0.000000293,-13.925830879,0.754857097,2.110246930,23.374599335,3.008478280,2.993364020,-1.868567613
24362.464000000,0.785398193,0.000000372,-14.565109162,0.331550532,2.632187968,23.939851715,2.972130092,3.023579600,-1.922589658
24362.488000000,0.785398147,0.000000458,-15.158759412,-0.163387678,3.195588247,24.457994758,2.932009573,3.057069737,-1.974309096
24362.514000000,0.785398090,0.000000555,-15.832102138,-0.737141624,3.812876577,25.027888105,2.888090075,3.094688497,-2.023891021
24362.540000000,0.785398022,0.000000661,-16.523070287,-1.395317282,4.475980692,25.596286918,2.840741015,3.136393167,-2.071663424
24362.563000000,0.785397944,0.000000774,-17.162938369,-2.131452726,5.169368214,26.111036872,2.790462946,-3.101411858,-2.117924337
24362.589000000,0.785397852,0.000000898,-17.889812424,-2.957734513,5.905700992,26.669747848,2.737541294,-3.052004416,-2.163910742
24362.613000000,0.785397750,0.000001025,-18.561895229,-3.862647548,6.656250818,27.169378329,2.682373218,-2.999426916,-2.210573562
24362.639000000,0.785397633,0.000001163,-19.318992826,-4.858778330,7.432853919,27.702855547,2.625142125,-2.943759224,-2.259295675
24362.665000000,0.785397501,0.000001306,-20.091980258,-5.939798585,8.212469922,28.218582213,2.566068211,-2.885929171,-2.311439395
24362.688000000,0.785397359,0.000001448,-20.806107458,-7.087531065,8.969284067,28.669373001,2.504964862,-2.827251301,-2.367929982
24362.714000000,0.785397200,0.000001595,-21.607091317,-8.317348702,9.715817687,29.141871484,2.442116070,-2.768234505,-2.429718992
24362.741000000,0.785397027,0.000001740,-22.422512879,-9.611810593,10.420755642,29.589526830,2.377818939,-2.709914520,-2.497270185
24362.764000000,0.785396845,0.000001875,-23.169634129,-10.945449463,11.056874804,29.969353359,2.311828091,-2.653424543,-2.570839738
24362.790000000,0.785396647,0.000002009,-24.004212615,-12.333045501,11.634641169,30.364073684,2.245060341,-2.599666508,-2.650785709
24362.814000000,0.785396443,0.000002125,-24.769947309,-13.732811908,12.111242529,30.696872275,2.177775178,-2.549558595,-2.736679522
24362.840000000,0.785396224,0.000002232,-25.621649501,-15.160135228,12.496554707,31.045200083,2.111627861,-2.503747497,-2.828209018
24362.866000000,0.785395997,0.000002318,-26.480733430,-16.586024987,12.756176824,31.375887122,2.048252032,-2.462801257,-2.924200599
24362.889000000,0.785395770,0.000002375,-27.266075950,-17.979568786,12.868909587,31.661497175,1.988668381,-2.426899490,-3.023354899
24362.915000000,0.785395531,0.000002410,-28.138669513,-19.356071514,12.842792606,31.975524534,1.936174397,-2.395893320,-3.123814786
24362.939000000,0.785395298,0.000002406,-28.936300148,-20.668794810,12.644035743,32.262021907,1.892105417,-2.369252790,3.059451439
24362.965000000,0.785395058,0.000002370,-29.829709140,-21.934484892,12.279061916,32.595342298,1.860551059,-2.346525901,2.962570479
24362.991000000,0.785394821,0.000002288,-30.729198268,-23.116598942,11.716004036,32.952858781,1.844184517,-2.326932836,2.871083830
24363.015000000,0.785394599,0.000002153,-31.557040861,-24.191954470,10.947280945,33.315906107,1.844052666,-2.309546869,2.786554519
24363.041000000,0.785394378,0.000001969,-32.485606871,-25.173880717,9.977431275,33.758903666,1.864507089,-2.293646288,2.711867809
24363.067000000,0.785394170,0.000001723,-33.431880996,-26.029354633,8.777400474,34.266673785,1.907876563,-2.278857662,2.649081264
24363.090000000,0.785393988,0.000001410,-34.313802438,-26.739302890,7.344123910,34.818333420,1.974149297,-2.265077173,2.599159692
24363.116000000,0.785393815,0.000001029,-35.314264024,-27.316504873,5.677269428,35.493657632,2.067614518,-2.253158745,2.564744962
24363.140000000,0.785393676,0.000000574,-36.257558651,-27.725791376,3.758949077,36.236546898,2.187302651,-2.244167090,2.545978824
24363.166000000,0.785393554,0.000000040,-37.336452542,-27.979007911,1.583222245,37.132941256,2.336279639,-2.240674455,2.544135266
24363.192000000,0.785393463,-0.000000582,-38.467691359,-28.044704370,-0.879202198,38.162236433,2.513252407,-2.245593950,2.557568707
24363.215000000,0.785393417,-0.000001287,-39.557604487,-27.910377380,-3.620494407,39.282357502,2.711562712,-2.261420499,2.580294335
24363.241000000,0.785393398,-0.000002086,-40.817861140,-27.579710685,-6.654972625,40.585418866,2.926056740,-2.292380337,2.604252277
24363.265000000,0.785393430,-0.000002970,-42.043888707,-27.017521171,-9.971762804,41.974339635,0.004233423,-0.803183826,-0.523422549
24363.291000000,0.785393505,-0.000003947,-43.456929924,-26.074185634,-13.426154116,43.518570708,0.182956503,-0.743692220,-0.583212210
24363.317000000,0.785393631,-0.000005018,-44.961769448,-24.875822744,-17.162143735,45.178419365,0.366694021,-0.679237544,-0.658622873
